Player,Team,TotalPlays,Total3ptShots,Total3ptMakes,3pt%,Total2ptShots,Total2ptMakes,2pt%,TotalMidRangeShots,TotalMidRangeMakes,MidRange%,EFG%,Turnover,Foul
Chase Dickens,Rochester Institute of Technology Tigers,7,3,2,66.6667,1,1,100.0,0,0,,100.0,1,2
Matt Caggiano,Rochester Institute of Technology Tigers,7,1,1,100.0,5,3,60.0,1,0,0.0,75.0,1,0
Brock Bowen,Rochester Institute of Technology Tigers,7,3,3,100.0,3,3,100.0,2,2,100.0,125.0,0,1
Laz Panagiotounis,Bard College,3,1,1,100.0,0,0,,0,0,,150.0,2,0
Keegan Ocorr,Rochester Institute of Technology Tigers,3,1,0,0.0,2,1,50.0,1,0,0.0,33.33333,0,0
Elliot Harris,Bard College,2,2,2,100.0,0,0,,0,0,,150.0,0,0
Brandon Weiss,Rochester Institute of Technology Tigers,2,1,0,0.0,1,1,100.0,0,0,,50.0,0,0
Braeden Burns,Clarkson University Golden Knights,2,0,0,,2,2,100.0,1,1,100.0,100.0,0,0
Jaylen Savage,Nazareth College Golden Flyers,2,0,0,,2,1,50.0,2,1,50.0,50.0,0,0
Aidan Roy,Skidmore Thoroughbreds,2,0,0,,1,0,0.0,1,0,0.0,0.0,1,0
Matthew Garside,Union (NY) Dutchmen,2,2,1,50.0,0,0,,0,0,,75.0,0,0
Logan Wendell,Ithaca College,2,0,0,,0,0,,1,0,0.0,,0,2
Mark Osime,Rochester Institute of Technology Tigers,2,1,0,0.0,1,0,0.0,0,0,,0.0,0,0
Jackson Otis,Rochester Institute of Technology Tigers,1,0,0,,0,0,,0,0,,,1,0
Heston Tucker,Bard College,1,0,0,,1,1,100.0,1,1,100.0,100.0,0,0
Connor Melis,Bard College,1,0,0,,1,0,0.0,1,0,0.0,0.0,0,0
Alex Moesch,Hobart College Statesmen,1,1,1,100.0,0,0,,0,0,,150.0,0,0
Andrew Geschickter,Ithaca College,1,0,0,,1,0,0.0,1,0,0.0,0.0,0,0
Aidan Holmes,Ithaca College,1,0,0,,1,1,100.0,0,0,,100.0,0,0
Ronnie Toole,Rochester Institute of Technology Tigers,1,0,0,,1,0,0.0,0,0,,0.0,0,0
Alex Walters,Vassar Brewers,1,1,0,0.0,0,0,,0,0,,0.0,0,0
Evan Cabral,Ithaca College,1,0,0,,1,1,100.0,1,1,100.0,100.0,0,0
Hakeem Daphnis,Skidmore Thoroughbreds,1,1,0,0.0,0,0,,0,0,,0.0,0,0
Tanner Tedesco,Union (NY) Dutchmen,1,1,0,0.0,0,0,,0,0,,0.0,0,0
Christian Dufort,Union (NY) Dutchmen,1,1,0,0.0,0,0,,0,0,,0.0,0,0
Malachi Moore,Rochester (NY) Yellowjackets,1,0,0,,1,1,100.0,1,1,100.0,100.0,0,0
Corvin Oprea,Rochester (NY) Yellowjackets,1,1,1,100.0,0,0,,0,0,,150.0,0,0
Nick Padilla,Skidmore Thoroughbreds,1,0,0,,1,1,100.0,0,0,,100.0,0,0
Marc Anthony Artuz,Elmira,1,0,0,,0,0,,0,0,,,1,0
Jake Walsh,Skidmore Thoroughbreds,1,0,0,,0,0,,0,0,,,0,1
