PrimaryPlayer,SecondaryPlayer,Team,TotalPlays,Total3ptShots,Total3ptMakes,3pt%,Total2ptShots,Total2ptMakes,2pt%,TotalMidRangeShots,TotalMidRangeMakes,MidRange%,EFG%,Turnover,Foul
Luke Insley,Jordan Haggard,Nazareth College Golden Flyers,2,0,0,,1,1,100.0,0,0,,100.0,1,0
Matt Caggiano,Josiah Turner,Rochester Institute of Technology Tigers,2,0,0,,1,1,100.0,1,1,100.0,100.0,0,1
Chase Dickens,Josiah Turner,Rochester Institute of Technology Tigers,1,0,0,,1,0,0.0,0,0,,0.0,0,0
Matt Caggiano,Kenny Wilburn,Rochester Institute of Technology Tigers,1,0,0,,1,0,0.0,0,0,,0.0,0,0
Logan Wendell,Triston Wennersten,Ithaca College,1,1,0,0.0,0,0,,0,0,,0.0,0,0
Brock Bowen,Josiah Turner,Rochester Institute of Technology Tigers,1,1,0,0.0,0,0,,0,0,,0.0,0,0
Cory Dennis,Kevin Le,Bard College,1,1,1,100.0,0,0,,0,0,,150.0,0,0
Brody Brown,Jackson Otis,Rochester Institute of Technology Tigers,1,1,1,100.0,0,0,,0,0,,150.0,0,0
Evan Cabral,Cole Wissink,Ithaca College,1,1,1,100.0,0,0,,0,0,,150.0,0,0
Keegan Ocorr,Kenny Wilburn,Rochester Institute of Technology Tigers,1,0,0,,0,0,,0,0,,,1,0
