Player,Team,TotalPlays,Total3ptShots,Total3ptMakes,3pt%,Total2ptShots,Total2ptMakes,2pt%,TotalMidRangeShots,TotalMidRangeMakes,MidRange%,EFG%,Turnover,Foul
Chase Dickens,Rochester Institute of Technology Tigers,39,3,2,66.6667,33,14,42.4242,16,8,50.0,47.22222,1,2
Kenny Wilburn,Rochester Institute of Technology Tigers,23,0,0,,18,7,38.8889,9,5,55.5556,38.88889,3,2
Matt Caggiano,Rochester Institute of Technology Tigers,19,0,0,,14,7,50.0,4,3,75.0,50.0,1,4
Josiah Turner,Rochester Institute of Technology Tigers,15,0,0,,9,3,33.3333,0,0,,33.33333,1,5
Keegan Ocorr,Rochester Institute of Technology Tigers,9,0,0,,5,3,60.0,2,0,0.0,60.0,1,3
Isaiah Washington,Hobart College Statesmen,9,0,0,,7,5,71.4286,3,1,33.3333,71.42857,1,1
Pat Healy,Hobart College Statesmen,7,1,0,0.0,6,3,50.0,1,1,100.0,42.85714,0,0
Ryan Miles-Ferguson,Clarkson University Golden Knights,6,3,1,33.3333,2,1,50.0,1,0,0.0,50.0,1,0
Aidan Rodgers,Hobart College Statesmen,5,1,0,0.0,4,1,25.0,2,0,0.0,20.0,0,0
Carter Meshanic,Hobart College Statesmen,5,0,0,,5,4,80.0,0,0,,80.0,0,0
Logan Wendell,Ithaca College,4,0,0,,3,0,0.0,1,0,0.0,0.0,0,1
Brock Bowen,Rochester Institute of Technology Tigers,4,3,0,0.0,0,0,,0,0,,0.0,1,0
Jaylen Savage,Nazareth College Golden Flyers,3,0,0,,3,2,66.6667,0,0,,66.66667,0,0
Logan Blankenberg,Nazareth College Golden Flyers,3,0,0,,1,1,100.0,1,1,100.0,100.0,1,1
Jonny Angbazo,Rensselaer Polytechnic,3,0,0,,2,0,0.0,0,0,,0.0,1,0
Christian Dufort,Union (NY) Dutchmen,3,1,0,0.0,2,1,50.0,0,0,,33.33333,0,0
Laz Panagiotounis,Bard College,3,1,1,100.0,2,2,100.0,0,0,,116.66667,0,0
Cody Schneider,Alfred State Pioneers,3,0,0,,1,0,0.0,1,0,0.0,0.0,2,0
Ryan Lucey,Hobart College Statesmen,2,0,0,,2,2,100.0,1,1,100.0,100.0,0,0
Luke Granto,Rochester Institute of Technology Tigers,2,1,0,0.0,1,0,0.0,1,0,0.0,0.0,0,0
Jake Walsh,Skidmore Thoroughbreds,2,1,0,0.0,1,0,0.0,1,0,0.0,0.0,0,0
Brandon Weiss,Rochester Institute of Technology Tigers,2,0,0,,2,0,0.0,0,0,,0.0,0,0
Shea Fitzgerald,Vassar Brewers,2,0,0,,2,0,0.0,1,0,0.0,0.0,0,0
Chase Welch,Wells,2,0,0,,1,0,0.0,1,0,0.0,0.0,0,1
Ivan OduroDompreh,Wells,1,0,0,,1,0,0.0,1,0,0.0,0.0,0,0
Tyler Cardello,Elmira,1,0,0,,0,0,,0,0,,,0,1
Zachary Bippus,Gallaudet University Bison,1,0,0,,0,0,,0,0,,,0,1
Mihail Bossev,Rochester Institute of Technology Tigers,1,0,0,,0,0,,0,0,,,1,0
Dorian Paki,Hobart College Statesmen,1,0,0,,1,0,0.0,0,0,,0.0,0,0
Dyland Matchett,Rensselaer Polytechnic,1,0,0,,0,0,,0,0,,,1,0
Brendan Reid,Union (NY) Dutchmen,1,0,0,,1,1,100.0,0,0,,100.0,0,0
Kreekor Karageuzian,Vassar Brewers,1,0,0,,1,1,100.0,0,0,,100.0,0,0
Logan Jagodzinski,Rochester (NY) Yellowjackets,1,0,0,,1,0,0.0,1,0,0.0,0.0,0,0
Lemar Fulmore Jr,Union (NY) Dutchmen,1,0,0,,1,0,0.0,0,0,,0.0,0,0
Rowan Heinze,Bard College,1,0,0,,0,0,,0,0,,,1,0
Gabriel Bergeron,Hobart College Statesmen,1,0,0,,1,0,0.0,0,0,,0.0,0,0
Yechiel Stewart,Rensselaer Polytechnic,1,0,0,,0,0,,0,0,,,1,0
Akinlana Popoola,St. John Fisher Cardinals,1,0,0,,0,0,,1,0,0.0,,0,1
Billy Mccrae,Wells,1,0,0,,0,0,,0,0,,,0,1
Terrance Clayton-Murphy,Wells,1,0,0,,1,0,0.0,0,0,,0.0,0,0
Enow Otto Jr.,Gallaudet University Bison,1,0,0,,1,0,0.0,0,0,,0.0,0,0
Luke Adams,Vassar Brewers,1,0,0,,1,0,0.0,0,0,,0.0,0,0
Jordan Haggard,Nazareth College Golden Flyers,1,0,0,,1,0,0.0,1,0,0.0,0.0,0,0
Nick Padilla,Skidmore Thoroughbreds,1,1,0,0.0,0,0,,0,0,,0.0,0,0
Aren Cummings,Union (NY) Dutchmen,1,0,0,,0,0,,0,0,,,1,0
