index,Home,Away,OffensivePossession,Outcome,ShotType,PrimaryPlayer,PrimaryPlayType,PrimaryDirection,PrimaryAction,SecondaryPlayer,SecondaryPlayType,SecondaryDirection,SecondaryAction,OffensiveConference,DefensiveConference,PlayNumber,ShotLevel,Date
27,RIT,IC,Rochester Institute of Technology Tigers,3pmi,No Dribble Jumper,Matt Caggiano,PNR,High,Away,Chase Dickens,Spot Ups,N/A,Shot,Liberty League,Liberty League,28,4.0,2025-01-14
28,RIT,IC,Ithaca College,3pMa,No Dribble Jumper,Logan Wendell,Transition,N/A,Left Wing,N/A,N/A,N/A,N/A,Liberty League,Liberty League,29,4.0,2025-01-14
29,RIT,IC,Rochester Institute of Technology Tigers,2pMa,To Basket,Mark Osime,PNR,Left,Away,N/A,N/A,N/A,N/A,Liberty League,Liberty League,30,1.0,2025-01-14
31,RIT,IC,Ithaca College,2pmi,To Basket,Evan Cabral,Off Screens,Right,Straight,N/A,N/A,N/A,N/A,Liberty League,Liberty League,32,1.0,2025-01-14
32,RIT,IC,Rochester Institute of Technology Tigers,3pmi,No Dribble Jumper,Chase Dickens,Transition,N/A,Right Wing,N/A,N/A,N/A,N/A,Liberty League,Liberty League,33,4.0,2025-01-14
33,RIT,IC,Ithaca College,3pMa,No Dribble Jumper,Logan Wendell,PNR,Left,Off,Evan Cabral,Spot Ups,N/A,Shot,Liberty League,Liberty League,34,4.0,2025-01-14
36,RIT,IC,Rochester Institute of Technology Tigers,Turnover,N/A,Josiah Turner,Spot Ups,Right,Drive,N/A,N/A,N/A,N/A,Liberty League,Liberty League,37,1.0,2025-01-14
37,RIT,IC,Ithaca College,Turnover,N/A,Logan Wendell,PNR,Right,Off,Evan Cabral,P&R Roll Man,N/A,Slips,Liberty League,Liberty League,38,1.0,2025-01-14
38,RIT,IC,Rochester Institute of Technology Tigers,2pMa,To Basket,Ronnie Toole,Transition,N/A,Left Wing,N/A,N/A,N/A,N/A,Liberty League,Liberty League,39,1.0,2025-01-14
39,RIT,IC,Ithaca College,3pMa,Dribble Jumper,Evan Cabral,PNR,High,Away,N/A,N/A,N/A,N/A,Liberty League,Liberty League,40,4.0,2025-01-14
40,RIT,IC,Rochester Institute of Technology Tigers,2pMa,To Basket,Chase Dickens,PNR,High,Off,N/A,N/A,N/A,N/A,Liberty League,Liberty League,41,1.0,2025-01-14
41,RIT,IC,Ithaca College,And1,To Basket,Alex Penders,Cuts,N/A,Basket,N/A,N/A,N/A,N/A,Liberty League,Liberty League,42,1.0,2025-01-14
44,RIT,IC,Rochester Institute of Technology Tigers,2pmi,To Basket,Josiah Turner,Cuts,N/A,Flash,N/A,N/A,N/A,N/A,Liberty League,Liberty League,45,1.0,2025-01-14
45,RIT,IC,Ithaca College,3pMa,No Dribble Jumper,Alex Penders,Transition,N/A,Trailer,N/A,N/A,N/A,N/A,Liberty League,Liberty League,46,4.0,2025-01-14
46,RIT,IC,Rochester Institute of Technology Tigers,3pMa,No Dribble Jumper,Luke Granto,PNR,High,N/A,N/A,N/A,N/A,N/A,Liberty League,Liberty League,47,4.0,2025-01-14
47,RIT,IC,Ithaca College,Turnover,N/A,Jose Padilla,Spot Ups,Left,Drive,N/A,N/A,N/A,N/A,Liberty League,Liberty League,48,1.0,2025-01-14
48,RIT,IC,Rochester Institute of Technology Tigers,2pMa,To Basket,Chase Dickens,Transition,N/A,Leak Outs,N/A,N/A,N/A,N/A,Liberty League,Liberty League,49,1.0,2025-01-14
50,RIT,IC,Ithaca College,3pmi,No Dribble Jumper,Jose Padilla,PNR,High,Off,Logan Wendell,Spot Ups,N/A,Shot,Liberty League,Liberty League,51,4.0,2025-01-14
52,RIT,IC,Ithaca College,3pmi,No Dribble Jumper,Logan Wendell,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A,Liberty League,Liberty League,53,4.0,2025-01-14
53,RIT,IC,Rochester Institute of Technology Tigers,3pmi,No Dribble Jumper,Chase Dickens,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A,Liberty League,Liberty League,54,4.0,2025-01-14
55,RIT,IC,Rochester Institute of Technology Tigers,2pmi,To Basket,Ronnie Toole,Spot Ups,Straight,Drive,N/A,N/A,N/A,N/A,Liberty League,Liberty League,56,1.0,2025-01-14
57,RIT,IC,Rochester Institute of Technology Tigers,3pMa,No Dribble Jumper,Luke Granto,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A,Liberty League,Liberty League,58,4.0,2025-01-14
59,RIT,IC,Ithaca College,Turnover,N/A,Yoav Regev,Misc,N/A,N/A,N/A,N/A,N/A,N/A,Liberty League,Liberty League,60,1.0,2025-01-14
60,RIT,IC,Rochester Institute of Technology Tigers,Turnover,N/A,Ronnie Toole,Transition,N/A,N/A,N/A,N/A,N/A,N/A,Liberty League,Liberty League,61,1.0,2025-01-14
61,RIT,IC,Ithaca College,3pmi,No Dribble Jumper,Evan Cabral,Transition,N/A,Trailer,N/A,N/A,N/A,N/A,Liberty League,Liberty League,62,4.0,2025-01-14
62,RIT,IC,Rochester Institute of Technology Tigers,Turnover,To Basket,Luke Granto,Cuts,N/A,Flash,N/A,N/A,N/A,N/A,Liberty League,Liberty League,63,1.0,2025-01-14
63,RIT,IC,Ithaca College,3pMa,No Dribble Jumper,Cole Wissink,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A,Liberty League,Liberty League,64,4.0,2025-01-14
64,RIT,IC,Rochester Institute of Technology Tigers,2pMa,To Basket,Josiah Turner,Post,Left,Right Shoulder,N/A,N/A,N/A,N/A,Liberty League,Liberty League,65,1.0,2025-01-14
65,RIT,IC,Ithaca College,3pmi,No Dribble Jumper,Aidan Holmes,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A,Liberty League,Liberty League,66,4.0,2025-01-14
66,RIT,IC,Rochester Institute of Technology Tigers,2pMa,To Basket,Chase Dickens,PNR,Left,Off,N/A,N/A,N/A,N/A,Liberty League,Liberty League,67,1.0,2025-01-14
67,RIT,IC,Ithaca College,2pmi,To Basket,Alex Penders,Cuts,N/A,Basket,N/A,N/A,N/A,N/A,Liberty League,Liberty League,68,1.0,2025-01-14
68,RIT,IC,Rochester Institute of Technology Tigers,2pMa,No Dribble Jumper,Chase Dickens,PNR,Right,Off,Luke Granto,Spot Ups,N/A,Shot,Liberty League,Liberty League,69,3.0,2025-01-14
69,RIT,IC,Ithaca College,Turnover,N/A,Aidan Holmes,Spot Ups,Left,Drive,N/A,N/A,N/A,N/A,Liberty League,Liberty League,70,1.0,2025-01-14
70,RIT,IC,Rochester Institute of Technology Tigers,2pmi,Dribble Jumper,Chase Dickens,Iso,Top,N/A,N/A,N/A,N/A,N/A,Liberty League,Liberty League,71,2.0,2025-01-14
71,RIT,IC,Ithaca College,Turnover,N/A,Chris Leysath,Misc,N/A,N/A,N/A,N/A,N/A,N/A,Liberty League,Liberty League,72,1.0,2025-01-14
72,RIT,IC,Rochester Institute of Technology Tigers,2pmi,To Basket,Luke Granto,Cuts,N/A,Flash,N/A,N/A,N/A,N/A,Liberty League,Liberty League,73,1.0,2025-01-14
73,RIT,IC,Ithaca College,2pMa,To Basket,Evan Cabral,Transition,N/A,First Middle,N/A,N/A,N/A,N/A,Liberty League,Liberty League,74,1.0,2025-01-14
74,RIT,IC,Rochester Institute of Technology Tigers,3pmi,No Dribble Jumper,Chase Dickens,Post,Left,Left Shoulder,Brody Brown,Spot Ups,N/A,Shot,Liberty League,Liberty League,75,4.0,2025-01-14
75,RIT,IC,Ithaca College,3pmi,No Dribble Jumper,Logan Wendell,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A,Liberty League,Liberty League,76,4.0,2025-01-14
76,RIT,IC,Ithaca College,2pMa,To Basket,Chris Leysath,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Liberty League,Liberty League,77,1.0,2025-01-14
77,RIT,IC,Rochester Institute of Technology Tigers,2pMa,To Basket,Chase Dickens,Cuts,N/A,Basket,N/A,N/A,N/A,N/A,Liberty League,Liberty League,78,1.0,2025-01-14
78,RIT,IC,Ithaca College,Turnover,N/A,Chris Leysath,Spot Ups,Left,Drive,N/A,N/A,N/A,N/A,Liberty League,Liberty League,79,1.0,2025-01-14
79,RIT,IC,Rochester Institute of Technology Tigers,3pmi,No Dribble Jumper,Ronnie Toole,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A,Liberty League,Liberty League,80,4.0,2025-01-14
80,RIT,IC,Ithaca College,2pmi,To Basket,Chris Leysath,Cuts,N/A,Flash,N/A,N/A,N/A,N/A,Liberty League,Liberty League,81,1.0,2025-01-14
81,RIT,IC,Rochester Institute of Technology Tigers,Turnover,To Basket,Kenny Wilburn,Spot Ups,Right,Drive,N/A,N/A,N/A,N/A,Liberty League,Liberty League,82,1.0,2025-01-14
82,RIT,IC,Ithaca College,2pmi,Dribble Jumper,Aidan Holmes,Spot Ups,Right,Drive,N/A,N/A,N/A,N/A,Liberty League,Liberty League,83,3.0,2025-01-14
83,RIT,IC,Ithaca College,2pmi,To Basket,Jaylon O'Neal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Liberty League,Liberty League,84,1.0,2025-01-14
84,RIT,IC,Rochester Institute of Technology Tigers,3pmi,No Dribble Jumper,Marcus Graves,Transition,N/A,Left Wing,N/A,N/A,N/A,N/A,Liberty League,Liberty League,85,4.0,2025-01-14
85,RIT,IC,Ithaca College,2pmi,To Basket,Jaylon O'Neal,Transition,N/A,Ball Handler,N/A,N/A,N/A,N/A,Liberty League,Liberty League,86,1.0,2025-01-14
