Home,Away,OffensivePossession,Outcome,ShotType,PrimaryPlayer,PrimaryPlayType,PrimaryDirection,PrimaryAction,SecondaryPlayer,SecondaryPlayType,SecondaryDirection,SecondaryAction
RIT,HOB,Hobart College Statesmen,2pMa,To Basket,Pat Healy,Iso,Left,N/A,Carter Meshanic,Cuts,N/A,Basket
RIT,HOB,Rochester Institute of Technology Tigers,Turnover,N/A,Chase Dickens,Misc,N/A,N/A,N/A,N/A,N/A,N/A
RIT,HOB,Hobart College Statesmen,Turnover,N/A,Isaiah Washington,Spot Ups,Right,Drive,N/A,N/A,N/A,N/A
RIT,HOB,Rochester Institute of Technology Tigers,2pmi,Dribble Jumper,Chase Dickens,Hand Offs,Top,Dribble,N/A,N/A,N/A,N/A
RIT,HOB,Hobart College Statesmen,3pMa,No Dribble Jumper,Ryan Lucey,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A
RIT,HOB,Rochester Institute of Technology Tigers,3pmi,No Dribble Jumper,Brock Bowen,Off Screens,Left,Straight,N/A,N/A,N/A,N/A
RIT,HOB,Hobart College Statesmen,3pMa,Dribble Jumper,Aidan Rodgers,Off Screens,Right,Straight,N/A,N/A,N/A,N/A
RIT,HOB,Rochester Institute of Technology Tigers,3pMa,No Dribble Jumper,Keegan Ocorr,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A
RIT,HOB,Hobart College Statesmen,2pMa,To Basket,Carter Meshanic,Hand Offs,Right,Dribble,N/A,N/A,N/A,N/A
RIT,HOB,Rochester Institute of Technology Tigers,2pmi,To Basket,Brock Bowen,Spot Ups,Right,Drive,N/A,N/A,N/A,N/A
RIT,HOB,Hobart College Statesmen,2pMa,Dribble Jumper,Pat Healy,Spot Ups,Right,Drive,N/A,N/A,N/A,N/A
RIT,HOB,Rochester Institute of Technology Tigers,2pMa,To Basket,Josiah Turner,Post,Left,Dribble,N/A,N/A,N/A,N/A
RIT,HOB,Hobart College Statesmen,3pMa,No Dribble Jumper,Aidan Rodgers,Off Screens,Right,Flare,N/A,N/A,N/A,N/A
RIT,HOB,Rochester Institute of Technology Tigers,2pMa,To Basket,Josiah Turner,Cuts,N/A,Flash,N/A,N/A,N/A,N/A
RIT,HOB,Hobart College Statesmen,3pmi,No Dribble Jumper,Aidan Rodgers,Off Screens,Left,Flare,N/A,N/A,N/A,N/A
RIT,HOB,Hobart College Statesmen,Turnover,N/A,Carter Meshanic,Post,Right,Dribble,N/A,N/A,N/A,N/A
RIT,HOB,Rochester Institute of Technology Tigers,2pMa,To Basket,Brody Brown,Transition,N/A,Ball Handler,N/A,N/A,N/A,N/A
RIT,HOB,Hobart College Statesmen,2pMa,To Basket,Ryan Lucey,Cuts,N/A,Basket,N/A,N/A,N/A,N/A
RIT,HOB,Rochester Institute of Technology Tigers,2pmi,To Basket,Josiah Turner,Iso,Top,N/A,N/A,N/A,N/A,N/A
RIT,HOB,Hobart College Statesmen,2pmi,To Basket,Pat Healy,Iso,Left,N/A,N/A,N/A,N/A,N/A
RIT,HOB,Rochester Institute of Technology Tigers,2pmi,To Basket,Chase Dickens,Iso,Top,N/A,N/A,N/A,N/A,N/A
RIT,HOB,Hobart College Statesmen,3pMa,No Dribble Jumper,Isaiah Washington,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A
RIT,HOB,Rochester Institute of Technology Tigers,2pmi,To Basket,Brody Brown,Cuts,N/A,Flash,N/A,N/A,N/A,N/A
RIT,HOB,Hobart College Statesmen,Foul,Dribble Jumper,Aidan Rodgers,PNR,Left,Away,N/A,N/A,N/A,N/A
RIT,HOB,Rochester Institute of Technology Tigers,3pmi,Dribble Jumper,Brock Bowen,Spot Ups,Right,Drive,N/A,N/A,N/A,N/A
RIT,HOB,Hobart College Statesmen,Turnover,N/A,Isaiah Washington,Transition,N/A,Right Wing,N/A,N/A,N/A,N/A
RIT,HOB,Rochester Institute of Technology Tigers,2pmi,To Basket,Matt Caggiano,Spot Ups,Left,Drive,N/A,N/A,N/A,N/A
RIT,HOB,Hobart College Statesmen,Turnover,N/A,Alex Moesch,Misc,N/A,N/A,N/A,N/A,N/A,N/A
RIT,HOB,Rochester Institute of Technology Tigers,2pMa,To Basket,Matt Caggiano,Transition,N/A,First Middle,N/A,N/A,N/A,N/A
RIT,HOB,Hobart College Statesmen,2pmi,To Basket,Aidan Rodgers,Iso,Right,N/A,N/A,N/A,N/A,N/A
RIT,HOB,Rochester Institute of Technology Tigers,Turnover,N/A,Brock Bowen,Misc,N/A,N/A,N/A,N/A,N/A,N/A
RIT,HOB,Hobart College Statesmen,2pmi,To Basket,Alex Moesch,Hand Offs,Right,Dribble,N/A,N/A,N/A,N/A
RIT,HOB,Rochester Institute of Technology Tigers,2pMa,Dribble Jumper,Matt Caggiano,Iso,Top,N/A,N/A,N/A,N/A,N/A
RIT,HOB,Hobart College Statesmen,2pmi,Dribble Jumper,Aidan Rodgers,Iso,Right,N/A,N/A,N/A,N/A,N/A
RIT,HOB,Hobart College Statesmen,3pMa,Dribble Jumper,Pat Healy,PNR,Left,Off,N/A,N/A,N/A,N/A
RIT,HOB,Rochester Institute of Technology Tigers,3pmi,No Dribble Jumper,Mark Osime,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A
RIT,HOB,Rochester Institute of Technology Tigers,And1,To Basket,Matt Caggiano,PNR,Right,N/A,N/A,N/A,N/A,N/A
RIT,HOB,Hobart College Statesmen,2pmi,To Basket,Dorian Paki,Cuts,N/A,Basket,N/A,N/A,N/A,N/A
RIT,HOB,Hobart College Statesmen,2pMa,To Basket,Carter Meshanic,Iso,Top,N/A,N/A,N/A,N/A,N/A
RIT,HOB,Rochester Institute of Technology Tigers,2pmi,Dribble Jumper,Matt Caggiano,Spot Ups,Left,Drive,N/A,N/A,N/A,N/A
RIT,HOB,Hobart College Statesmen,2pMa,To Basket,Pat Healy,Transition,N/A,Ball Handler,N/A,N/A,N/A,N/A
RIT,HOB,Rochester Institute of Technology Tigers,2pmi,To Basket,Mark Osime,Spot Ups,Left,Drive,N/A,N/A,N/A,N/A
RIT,HOB,Hobart College Statesmen,2pmi,To Basket,Dorian Paki,Post,Right,Dribble,N/A,N/A,N/A,N/A
RIT,HOB,Hobart College Statesmen,2pMa,To Basket,Carter Meshanic,Cuts,N/A,Flash,N/A,N/A,N/A,N/A
RIT,HOB,Rochester Institute of Technology Tigers,Turnover,To Basket,Kenny Wilburn,Spot Ups,Left,Drive,N/A,N/A,N/A,N/A
RIT,HOB,Hobart College Statesmen,3pMa,No Dribble Jumper,Alex Moesch,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A
RIT,HOB,Rochester Institute of Technology Tigers,2pmi,To Basket,Brock Bowen,Spot Ups,Left,Drive,N/A,N/A,N/A,N/A
RIT,HOB,Hobart College Statesmen,Turnover,N/A,Pat Healy,PNR,Right,Away,N/A,N/A,N/A,N/A
RIT,HOB,Rochester Institute of Technology Tigers,2pmi,To Basket,Keegan Ocorr,PNR,Left,Off,Josiah Turner,Cuts,N/A,Basket
RIT,HOB,Hobart College Statesmen,3pmi,Dribble Jumper,Pat Healy,Iso,Top,N/A,N/A,N/A,N/A,N/A
RIT,HOB,Rochester Institute of Technology Tigers,Turnover,N/A,Matt Caggiano,Transition,N/A,Ball Handler,N/A,N/A,N/A,N/A
RIT,HOB,Hobart College Statesmen,And1,To Basket,Carter Meshanic,Iso,Top,N/A,N/A,N/A,N/A,N/A
RIT,HOB,Hobart College Statesmen,2pmi,To Basket,Ryan Lucey,Post,Right,Dribble,N/A,N/A,N/A,N/A
RIT,HOB,Rochester Institute of Technology Tigers,2pmi,To Basket,Matt Caggiano,Transition,N/A,Left Wing,N/A,N/A,N/A,N/A
RIT,HOB,Hobart College Statesmen,3pmi,No Dribble Jumper,Carter Meshanic,Post,Left,Dribble,Aidan Rodgers,Spot Ups,N/A,Shot
RIT,HOB,Rochester Institute of Technology Tigers,Turnover,N/A,Matt Caggiano,Spot Ups,Left,Drive,N/A,N/A,N/A,N/A
RIT,HOB,Hobart College Statesmen,2pMa,To Basket,Carter Meshanic,Misc,N/A,N/A,N/A,N/A,N/A,N/A
RIT,HOB,Rochester Institute of Technology Tigers,2pMa,To Basket,Josiah Turner,Cuts,N/A,Basket,N/A,N/A,N/A,N/A
RIT,HOB,Hobart College Statesmen,2pMa,To Basket,Aidan Rodgers,Iso,Top,N/A,N/A,N/A,N/A,N/A
RIT,HOB,Rochester Institute of Technology Tigers,2pMa,To Basket,Chase Dickens,PNR,High,Off,Josiah Turner,P&R Roll Man,N/A,Roll
RIT,HOB,Hobart College Statesmen,2pmi,Dribble Jumper,Pat Healy,PNR,Left,Off,N/A,N/A,N/A,N/A
RIT,HOB,Rochester Institute of Technology Tigers,Turnover,N/A,Keegan Ocorr,Misc,N/A,N/A,N/A,N/A,N/A,N/A
RIT,HOB,Rochester Institute of Technology Tigers,2pmi,To Basket,Josiah Turner,Cuts,N/A,Basket,N/A,N/A,N/A,N/A
RIT,HOB,Hobart College Statesmen,Turnover,N/A,Carter Meshanic,Post,Right,Dribble,N/A,N/A,N/A,N/A
RIT,HOB,Rochester Institute of Technology Tigers,2pMa,Dribble Jumper,Chase Dickens,Iso,Top,N/A,N/A,N/A,N/A,N/A
RIT,HOB,Hobart College Statesmen,2pmi,To Basket,Pat Healy,Spot Ups,Right,Drive,N/A,N/A,N/A,N/A
RIT,HOB,Rochester Institute of Technology Tigers,2pMa,To Basket,Mark Osime,Cuts,N/A,Basket,N/A,N/A,N/A,N/A
RIT,HOB,Hobart College Statesmen,Turnover,N/A,Aidan Rodgers,Spot Ups,Left,Drive,N/A,N/A,N/A,N/A
RIT,HOB,Rochester Institute of Technology Tigers,3pmi,Dribble Jumper,Chase Dickens,Misc,N/A,N/A,N/A,N/A,N/A,N/A
RIT,HOB,Rochester Institute of Technology Tigers,2pmi,To Basket,Chase Dickens,Iso,Right,N/A,N/A,N/A,N/A,N/A
RIT,HOB,Hobart College Statesmen,2pMa,Dribble Jumper,Pat Healy,Iso,Right,N/A,N/A,N/A,N/A,N/A
RIT,HOB,Rochester Institute of Technology Tigers,3pmi,Dribble Jumper,Brock Bowen,PNR,High,Off,N/A,N/A,N/A,N/A
RIT,HOB,Rochester Institute of Technology Tigers,2pmi,Dribble Jumper,Chase Dickens,Spot Ups,Right,Drive,N/A,N/A,N/A,N/A
RIT,HOB,Rochester Institute of Technology Tigers,2pMa,To Basket,Josiah Turner,Cuts,N/A,Basket,N/A,N/A,N/A,N/A
RIT,HOB,Hobart College Statesmen,2pmi,Dribble Jumper,Pat Healy,Spot Ups,Right,Drive,N/A,N/A,N/A,N/A
RIT,HOB,Rochester Institute of Technology Tigers,3pmi,No Dribble Jumper,Josiah Turner,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A
RIT,HOB,Hobart College Statesmen,3pmi,No Dribble Jumper,Isaiah Washington,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A
RIT,HOB,Rochester Institute of Technology Tigers,2pmi,To Basket,Brock Bowen,PNR,High,Off,Josiah Turner,P&R Roll Man,N/A,Roll
RIT,HOB,Hobart College Statesmen,Foul,To Basket,Isaiah Washington,Cuts,N/A,Basket,N/A,N/A,N/A,N/A
RIT,HOB,Rochester Institute of Technology Tigers,Turnover,N/A,Josiah Turner,Post,Right,Dribble,N/A,N/A,N/A,N/A
RIT,HOB,Hobart College Statesmen,2pmi,To Basket,Aidan Rodgers,Transition,N/A,Ball Handler,N/A,N/A,N/A,N/A
RIT,HOB,Rochester Institute of Technology Tigers,2pmi,To Basket,Chase Dickens,PNR,Left,Off,N/A,N/A,N/A,N/A
RIT,HOB,Rochester Institute of Technology Tigers,3pmi,No Dribble Jumper,Mark Osime,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A
RIT,HOB,Hobart College Statesmen,2pMa,To Basket,Hunter Meshanic,Transition,N/A,Right Wing,N/A,N/A,N/A,N/A
RIT,HOB,Rochester Institute of Technology Tigers,2pMa,To Basket,Josiah Turner,Misc,N/A,N/A,N/A,N/A,N/A,N/A
RIT,HOB,Hobart College Statesmen,2pMa,Dribble Jumper,Pat Healy,PNR,High,Off,N/A,N/A,N/A,N/A
RIT,HOB,Rochester Institute of Technology Tigers,2pmi,No Dribble Jumper,Josiah Turner,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A
RIT,HOB,Hobart College Statesmen,And1,To Basket,Isaiah Washington,Iso,Left,N/A,N/A,N/A,N/A,N/A
RIT,HOB,Rochester Institute of Technology Tigers,2pmi,To Basket,Matt Caggiano,PNR,Left,Off,N/A,N/A,N/A,N/A
RIT,HOB,Hobart College Statesmen,3pmi,No Dribble Jumper,Isaiah Washington,Transition,N/A,Left Wing,N/A,N/A,N/A,N/A
