#,Title,Notes,Text Overlay,User Tags,Synergy Tags,Result,Duration,In Point,Out Point,Team,Game,Date,Pd.,Clock,Player,Play Type,Synergy String
1,David Ackles,,,,2FGM,Make 2 Pts,00:00:16.9,,,Rochester (NY) Yellowjackets,RIT@ROY,11/12/2024,1,19:50,David Ackles,Post Up,34 David Ackles > Post-Up > Right Block > Left Shoulder > Dribble Move > To Drop Step > Make 2 Pts
2,Brody Brown,,,,"2FGM, Assist",Make 2 Pts,00:00:09.9,,,Rochester Institute of Technology Tigers,RIT@ROY,11/12/2024,1,19:36,"Brody Brown, Kenny Wilburn",Cut,12 Brody Brown > Cut > Basket > Make 2 Pts
3,David Ackles,,,,"Turnover, Steal",Turnover,00:00:17.8,,,Rochester (NY) Yellowjackets,RIT@ROY,11/12/2024,1,19:22,"David Ackles, Brody Brown",,34 David Ackles > No Play Type > Turnover
4,Kenny Wilburn,,,,"2FGM, Assist",Make 2 Pts,00:00:17.9,,,Rochester Institute of Technology Tigers,RIT@ROY,11/12/2024,1,19:08,"Kenny Wilburn, Chase Dickens",Spot Up,3 Kenny Wilburn > Spot-Up > No Dribble Jumper > Guarded > Medium/17' to <3p > Make 2 Pts
5,Tomiwa Adetosoye,,,,"2FGm, Def Reb",Miss 2 Pts,00:00:12.8,,,Rochester (NY) Yellowjackets,RIT@ROY,11/12/2024,1,18:54,"Tomiwa Adetosoye, Chase Dickens",Transition,8 Tomiwa Adetosoye > Transition > Ballhandler > To Basket > Miss 2 Pts
6,Kenny Wilburn,,,,"2FGm, Def Reb",Miss 2 Pts,00:00:28.2,,,Rochester Institute of Technology Tigers,RIT@ROY,11/12/2024,1,18:29,"Kenny Wilburn, Corvin Oprea",Iso,3 Kenny Wilburn > ISO > Top > Drives Left > Dribble Jumper > Short to < 17' > Miss 2 Pts
7,Corvin Oprea,,,,Foul,Foul,00:00:26.7,,,Rochester (NY) Yellowjackets,RIT@ROY,11/12/2024,1,18:05,"Nolan Smih, Corvin Oprea",Off Screen,5 Corvin Oprea > Off Screen > To Shooter's Right > Flare > To Basket > Foul
8,Corvin Oprea,,,,FTM,Free Throw,00:00:06.4,,,Rochester (NY) Yellowjackets,RIT@ROY,11/12/2024,1,,Corvin Oprea,,5 Corvin Oprea > Non Possession > Free Throw
9,Corvin Oprea,,,,FTM,Free Throw,00:00:04.9,,,Rochester (NY) Yellowjackets,RIT@ROY,11/12/2024,1,,Corvin Oprea,,5 Corvin Oprea > Non Possession > Free Throw
10,Kenny Wilburn,,,,"2FGm, Def Reb",Miss 2 Pts,00:00:22.1,,,Rochester Institute of Technology Tigers,RIT@ROY,11/12/2024,1,17:42,"Kenny Wilburn, Logan Jagodzinski","Post Up, Spot Up",11 Chase Dickens > Post-Up > Flash Middle > Right Shoulder > Dribble Move > Defense Commits > Ball Delivered > 3 Kenny Wilburn > Spot-Up > No Dribble Jumper > Guarded > Medium/17' to <3p > Miss 2 Pts
11,Tomiwa Adetosoye,,,,"3FGm, Def Reb",Miss 3 Pts,00:00:16.9,,,Rochester (NY) Yellowjackets,RIT@ROY,11/12/2024,1,17:31,"Tomiwa Adetosoye, Matt Caggiano",Transition,8 Tomiwa Adetosoye > Transition > Trailer > No Dribble Jumper > Guarded > Long/3pt > Miss 3 Pts
12,Matt Caggiano,,,,"2FGm, Def Reb",Miss 2 Pts,00:00:15.0,,,Rochester Institute of Technology Tigers,RIT@ROY,11/12/2024,1,17:22,"Matt Caggiano, Logan Jagodzinski",Transition,5 Matt Caggiano > Transition > Ballhandler > Dribble Jumper > Short to < 17' > Miss 2 Pts
13,Logan Jagodzinski,,,,"2FGM, Assist",Make 2 Pts,00:00:15.9,,,Rochester (NY) Yellowjackets,RIT@ROY,11/12/2024,1,17:10,"Logan Jagodzinski, Tomiwa Adetosoye",Transition,12 Logan Jagodzinski > Transition > Trailer > To Basket > Make 2 Pts
14,Kenny Wilburn,,,,"2FGm, Def Reb, Block, Blocked Attempt",Miss 2 Pts,00:00:26.3,,,Rochester Institute of Technology Tigers,RIT@ROY,11/12/2024,1,16:42,"Kenny Wilburn, Logan Jagodzinski, David Ackles",,3 Kenny Wilburn > No Play Type > No Dribble Jumper > Guarded > Short to < 17' > Miss 2 Pts
15,Tomiwa Adetosoye,,,,Foul,Non Shooting Foul,00:00:11.4,,,,RIT@ROY,11/12/2024,1,,Matt Caggiano,,8 Tomiwa Adetosoye > Non Possession > Non Shooting Foul
16,Tomiwa Adetosoye,,,,,No Violation,00:00:07.4,,,Rochester (NY) Yellowjackets,RIT@ROY,11/12/2024,1,,Tomiwa Adetosoye,,8 Tomiwa Adetosoye > Non Possession > No Violation
17,Tomiwa Adetosoye,,,,2FGM,Make 2 Pts,00:00:22.3,,,Rochester (NY) Yellowjackets,RIT@ROY,11/12/2024,1,16:21,Tomiwa Adetosoye,Spot Up,8 Tomiwa Adetosoye > Spot-Up > Drives Left > To Basket > Make 2 Pts
18,Chase Dickens,,,,"Turnover, Steal",Turnover,00:00:09.3,,,Rochester Institute of Technology Tigers,RIT@ROY,11/12/2024,1,16:11,"Tomiwa Adetosoye, Chase Dickens",Iso,11 Chase Dickens > ISO > Right > Drives Left > Defense Commits > Turnover
19,Logan Jagodzinski,,,,Turnover,Turnover,00:00:09.1,,,Rochester (NY) Yellowjackets,RIT@ROY,11/12/2024,1,16:03,Logan Jagodzinski,Transition,12 Logan Jagodzinski > Transition > Leak Outs > To Basket > Turnover
20,Josiah Turner,,,,"2FGm, Def Reb, Block, Blocked Attempt",Miss 2 Pts,00:00:17.9,,,Rochester Institute of Technology Tigers,RIT@ROY,11/12/2024,1,15:45,"Josiah Turner, David Ackles",Iso,33 Josiah Turner > ISO > Top > Drives Left > To Basket > Miss 2 Pts
21,Logan Jagodzinski,,,,"3FGM, Assist",Make 3 Pts,00:00:15.6,,,Rochester (NY) Yellowjackets,RIT@ROY,11/12/2024,1,15:34,"Tomiwa Adetosoye, Logan Jagodzinski",Transition,12 Logan Jagodzinski > Transition > Right Wing > No Dribble Jumper > Guarded > Long/3pt > Make 3 Pts
22,Josiah Turner,,,,,No Violation,00:00:09.3,,,Rochester Institute of Technology Tigers,RIT@ROY,11/12/2024,1,,Josiah Turner,,33 Josiah Turner > Non Possession > No Violation
23,Chase Dickens,,,,"Turnover, Steal",Turnover,00:00:15.3,,,Rochester Institute of Technology Tigers,RIT@ROY,11/12/2024,1,15:16,"Chase Dickens, Bennett Kwiecinski",P&R BH,11 Chase Dickens > P&R Ball Handler > High P&R > Defense Commits > Turnover
24,Bennett Kwiecinski,,,,2FGM,Make 2 Pts,00:00:07.5,,,Rochester (NY) Yellowjackets,RIT@ROY,11/12/2024,1,15:10,Bennett Kwiecinski,Transition,11 Bennett Kwiecinski > Transition > Ballhandler > To Basket > Make 2 Pts
25,Josiah Turner,,,,"2FGM, Foul, Assist",0 Pts,00:00:15.1,,,Rochester Institute of Technology Tigers,RIT@ROY,11/12/2024,1,15:10,"Josiah Turner, Nolan Smih, Camden Fleming",Cut,33 Josiah Turner > Cut > Basket > Make 2 Pts Foul > 0 Pts
26,Josiah Turner,,,,"FTm, Def Reb",Free Throw,00:00:06.1,,,Rochester Institute of Technology Tigers,RIT@ROY,11/12/2024,1,,"Josiah Turner, Logan Jagodzinski",,33 Josiah Turner > Non Possession > Free Throw
27,Theo Murray,,,,"Foul, Turnover",Turnover,00:00:17.7,,,Rochester (NY) Yellowjackets,RIT@ROY,11/12/2024,1,14:43,Theo Murray,Handoff,10 Theo Murray > Hand Off > From Dribble > Left > To Basket > Turnover
28,Chase Dickens,,,,Turnover,Turnover,00:00:17.7,,,Rochester Institute of Technology Tigers,RIT@ROY,11/12/2024,1,14:26,Chase Dickens,Spot Up,11 Chase Dickens > Spot-Up > Drives Right > Turnover
29,Logan Jagodzinski,,,,"3FGM, Assist",Make 3 Pts,00:00:19.3,,,Rochester (NY) Yellowjackets,RIT@ROY,11/12/2024,1,14:10,"Bennett Kwiecinski, Logan Jagodzinski",P&R BH,12 Logan Jagodzinski > P&R Ball Handler > Left P&R > Side > Takes Early Jump Shot > No Dribble Jumper > Guarded > Long/3pt > Make 3 Pts
30,Kenny Wilburn,,,,Turnover,Turnover,00:00:13.1,,,Rochester Institute of Technology Tigers,RIT@ROY,11/12/2024,1,13:56,Kenny Wilburn,"P&R BH, Cut",10 Brock Bowen > P&R Ball Handler > High P&R > Dribble Off Pick > Defense Commits > Ball Delivered > 3 Kenny Wilburn > Cut > Flash > Turnover
31,Ethan McEachern,,,,2FGM,Make 2 Pts,00:00:12.4,,,Rochester (NY) Yellowjackets,RIT@ROY,11/12/2024,1,13:47,Ethan McEachern,,3 Ethan McEachern > No Play Type > To Basket > Make 2 Pts
32,Kenny Wilburn,,,,2FGm,Miss 2 Pts,00:00:26.3,,,Rochester Institute of Technology Tigers,RIT@ROY,11/12/2024,1,13:21,Kenny Wilburn,Spot Up,3 Kenny Wilburn > Spot-Up > Drives Left > To Basket > Miss 2 Pts
33,Kenny Wilburn,,,,"2FGM, Off Reb",Make 2 Pts,00:00:08.7,,,Rochester Institute of Technology Tigers,RIT@ROY,11/12/2024,1,13:21,Kenny Wilburn,Off Reb,3 Kenny Wilburn > Offensive Rebound > Short > Scoring Attempt > At Basket > Make 2 Pts
34,Ethan McEachern,,,,"2FGM, Assist",Make 2 Pts,00:00:23.9,,,Rochester (NY) Yellowjackets,RIT@ROY,11/12/2024,1,12:56,"Ethan McEachern, Bennett Kwiecinski","Post Up, Cut",11 Bennett Kwiecinski > Post-Up > Left Block > Right Shoulder > Dribble Move > Defense Commits > Ball Delivered > 3 Ethan McEachern > Cut > Basket > Make 2 Pts
35,Brock Bowen,,,,3FGM,Make 3 Pts,00:00:26.6,,,Rochester Institute of Technology Tigers,RIT@ROY,11/12/2024,1,12:27,Brock Bowen,Spot Up,10 Brock Bowen > Spot-Up > Drives Left > Dribble Jumper > Long/3pt > Make 3 Pts
36,Ethan McEachern,,,,"3FGM, Assist",Make 3 Pts,00:00:29.5,,,Rochester (NY) Yellowjackets,RIT@ROY,11/12/2024,1,12:02,"Ethan McEachern, Nate Sock",Off Screen,3 Ethan McEachern > Off Screen > To Shooter's Right > Straight > No Dribble Jumper > Guarded > Long/3pt > Make 3 Pts
37,Brock Bowen,,,,"3FGm, Def Reb",Miss 3 Pts,00:00:14.1,,,Rochester Institute of Technology Tigers,RIT@ROY,11/12/2024,1,11:45,"Brock Bowen, Nate Sock","Post Up, Spot Up",23 Mark Osime > Post-Up > Right Block > Right Shoulder > Dribble Move > Defense Commits > Ball Delivered > 10 Brock Bowen > Spot-Up > No Dribble Jumper > Open > Long/3pt > Miss 3 Pts
38,Nate Sock,,,,2FGm,Miss 2 Pts,00:00:15.2,,,Rochester (NY) Yellowjackets,RIT@ROY,11/12/2024,1,11:34,Nate Sock,Transition,22 Nate Sock > Transition > Ballhandler > To Basket > Miss 2 Pts
39,Luke Granto,,,,"2FGM, Assist",Make 2 Pts,00:00:16.0,,,Rochester Institute of Technology Tigers,RIT@ROY,11/12/2024,1,11:15,"Luke Granto, Josiah Turner","Post Up, Cut",33 Josiah Turner > Post-Up > Left Block > Right Shoulder > Dribble Move > Defense Commits > Ball Delivered > 2 Luke Granto > Cut > Basket > Make 2 Pts
40,Bennett Kwiecinski,,,,"2FGm, Def Reb",Miss 2 Pts,00:00:15.1,,,Rochester (NY) Yellowjackets,RIT@ROY,11/12/2024,1,11:01,"Bennett Kwiecinski, Brock Bowen",Post Up,11 Bennett Kwiecinski > Post-Up > Left Block > Right Shoulder > Dribble Move > To Jumper > Miss 2 Pts
41,Josiah Turner,,,,"3FGM, Assist",Make 3 Pts,00:00:16.3,,,Rochester Institute of Technology Tigers,RIT@ROY,11/12/2024,1,10:52,"Josiah Turner, Brock Bowen",Spot Up,33 Josiah Turner > Spot-Up > No Dribble Jumper > Open > Long/3pt > Make 3 Pts
42,Bennett Kwiecinski,,,,"2FGm, Def Reb",Miss 2 Pts,00:00:24.4,,,Rochester (NY) Yellowjackets,RIT@ROY,11/12/2024,1,10:28,"Bennett Kwiecinski, Kenny Wilburn",Cut,11 Bennett Kwiecinski > Cut > Flash > Miss 2 Pts
43,Mark Osime,,,,3FGm,Miss 3 Pts,00:00:26.9,,,Rochester Institute of Technology Tigers,RIT@ROY,11/12/2024,1,10:10,Mark Osime,"P&R BH, Spot Up",10 Brock Bowen > P&R Ball Handler > Left P&R > Baseline > Dribble Off Pick > Defense Commits > Ball Delivered > 23 Mark Osime > Spot-Up > No Dribble Jumper > Open > Long/3pt > Miss 3 Pts
44,Kenny Wilburn,,,,Off Reb,Run Offense,00:00:06.8,,,Rochester Institute of Technology Tigers,RIT@ROY,11/12/2024,1,,Kenny Wilburn,Off Reb,3 Kenny Wilburn > Offensive Rebound > Long > Run Offense
45,Luke Granto,,,,3FGm,Miss 3 Pts,00:00:13.4,,,Rochester Institute of Technology Tigers,RIT@ROY,11/12/2024,1,10:05,Luke Granto,Spot Up,2 Luke Granto > Spot-Up > No Dribble Jumper > Open > Long/3pt > Miss 3 Pts
