#,Title,Notes,Text Overlay,User Tags,Synergy Tags,Result,Duration,In Point,Out Point,Team,Game,Date,Pd.,Clock,Player,Play Type,Play Call,Synergy String
1,Dylan Matchett,,,,3FGm,Miss 3 Pts,00:00:35.4,,,Rensselaer Polytechnic,SKD@RPI,01/10/2025,1,19:38,Dylan Matchett,"P&R BH, Spot Up",,23 PJ Scalisi > P&R Ball Handler > Right P&R > Side > Go Away from Pick > Defense Commits > Ball Delivered > 32 Dylan Matchett > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Miss 3 Pts
2,Aidan Roy,,,,3FGM,Make 3 Pts,00:00:08.2,,,Skidmore Thoroughbreds,SKD@RPI,01/10/2025,1,19:26,Aidan Roy,P&R BH,,15 Aidan Roy > P&R Ball Handler > High P&R > Dribble Off Pick > Dribble Jumper > Long/3pt > Make 3 Pts
3,Avery Eugster,,,,"2FGm, Def Reb",Miss 2 Pts,00:00:21.6,,,Rensselaer Polytechnic,SKD@RPI,01/10/2025,1,19:05,"Avery Eugster, Aidan Roy",Post Up,,12 Avery Eugster > Post-Up > Left Block > Left Shoulder > Dribble Move > To Basket > Miss 2 Pts
4,Hakeem Daphnis,,,,"3FGM, Assist",Make 3 Pts,00:00:16.9,,,Skidmore Thoroughbreds,SKD@RPI,01/10/2025,1,18:56,"Hakeem Daphnis, Aidan Roy",Transition,,23 Hakeem Daphnis > Transition > Right Wing > No Dribble Jumper > Open > Long/3pt > Make 3 Pts
5,Chuck Clemons,,,,,No Violation,00:00:15.4,,,Rensselaer Polytechnic,SKD@RPI,01/10/2025,1,,Chuck Clemons,,,4 Chuck Clemons > Non Possession > No Violation
6,Chuck Clemons,,,,3FGm,Miss 3 Pts,00:00:29.3,,,Rensselaer Polytechnic,SKD@RPI,01/10/2025,1,18:23,Chuck Clemons,"Post Up, Spot Up",,12 Avery Eugster > Post-Up > Right Block > Defense Commits > Ball Delivered > 4 Chuck Clemons > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Miss 3 Pts
7,Andrew Deppe,,,,"Foul, Turnover",Turnover,00:00:14.2,,,Rensselaer Polytechnic,SKD@RPI,01/10/2025,1,18:15,Andrew Deppe,Cut,,41 Andrew Deppe > Cut > Basket > Turnover
8,Aidan Roy,,,,3FGM,Make 3 Pts,00:00:12.9,,,Skidmore Thoroughbreds,SKD@RPI,01/10/2025,1,18:03,Aidan Roy,Iso,,15 Aidan Roy > ISO > Top > Early Jumper > Dribble Jumper > Long/3pt > Make 3 Pts
9,Avery Eugster,,,,"2FGm, Def Reb, Block, Blocked Attempt",Miss 2 Pts,00:00:23.0,,,Rensselaer Polytechnic,SKD@RPI,01/10/2025,1,17:41,"Avery Eugster, Jack LaGarde, Hakeem Daphnis",P&R BH,,12 Avery Eugster > P&R Ball Handler > Left P&R > Side > Dribble Off Pick > To Basket > Miss 2 Pts
10,Jack LaGarde,,,,2FGM,Make 2 Pts,00:00:26.1,,,Skidmore Thoroughbreds,SKD@RPI,01/10/2025,1,17:23,Jack LaGarde,Post Up,,32 Jack LaGarde > Post-Up > Right Block > Left Shoulder > Dribble Move > To Drop Step > Make 2 Pts
11,Dylan Matchett,,,,,No Violation,00:00:15.2,,,Rensselaer Polytechnic,SKD@RPI,01/10/2025,1,,Dylan Matchett,,,32 Dylan Matchett > Non Possession > No Violation
12,Andrew Deppe,,,,Foul,Foul,00:00:18.9,,,Rensselaer Polytechnic,SKD@RPI,01/10/2025,1,17:03,"Aidan Roy, Andrew Deppe",Cut,,41 Andrew Deppe > Cut > Basket > Foul
13,Andrew Deppe,,,,FTM,Free Throw,00:00:10.9,,,Rensselaer Polytechnic,SKD@RPI,01/10/2025,1,,Andrew Deppe,,,41 Andrew Deppe > Non Possession > Free Throw
14,Andrew Deppe,,,,FTM,Free Throw,00:00:12.0,,,Rensselaer Polytechnic,SKD@RPI,01/10/2025,1,,Andrew Deppe,,,41 Andrew Deppe > Non Possession > Free Throw
15,Aidan Roy,,,,"2FGm, Block, Blocked Attempt",Miss 2 Pts,00:00:14.1,,,Skidmore Thoroughbreds,SKD@RPI,01/10/2025,1,16:51,"Aidan Roy, Avery Eugster",Iso,,15 Aidan Roy > ISO > Top > Drives Left > To Basket > Miss 2 Pts
16,Hakeem Daphnis,,,,"3FGM, Assist",Make 3 Pts,00:00:09.7,,,Skidmore Thoroughbreds,SKD@RPI,01/10/2025,1,16:48,"Hakeem Daphnis, Aidan Roy",Off Screen,,23 Hakeem Daphnis > Off Screen > To Shooter's Left > Straight > No Dribble Jumper > Open > Long/3pt > Make 3 Pts
17,Avery Eugster,,,,"2FGm, Def Reb",Miss 2 Pts,00:00:22.1,,,Rensselaer Polytechnic,SKD@RPI,01/10/2025,1,16:28,"Avery Eugster, Aidan Roy",P&R BH,,12 Avery Eugster > P&R Ball Handler > High P&R > Dribble Off Pick > To Basket > Miss 2 Pts
