Home,Away,OffensivePossession,Outcome,ShotType,PrimaryPlayer,PrimaryPlayType,PrimaryDirection,PrimaryAction,SecondaryPlayer,SecondaryPlayType,SecondaryDirection,SecondaryAction
Elm,RIT,Rochester Institute of Technology Tigers,3pMa,No Dribble Jumper,Matt Caggiano,PNR,High,Off,Brock Bowen,Spot Ups,N/A,Shot
Elm,RIT,Elmira,Turnover,To Basket,Tyler Cardello,Cuts,N/A,Basket,N/A,N/A,N/A,N/A
Elm,RIT,Rochester Institute of Technology Tigers,Turnover,N/A,Matt Caggiano,Misc,N/A,N/A,N/A,N/A,N/A,N/A
Elm,RIT,Elmira,3pmi,No Dribble Jumper,Riley Spencer,Hand Offs,Top,Dribble,N/A,N/A,N/A,N/A
Elm,RIT,Rochester Institute of Technology Tigers,Turnover,To Basket,Kenny Wilburn,Cuts,N/A,Basket,N/A,N/A,N/A,N/A
Elm,RIT,Elmira,2pmi,To Basket,Marc Anthony Artuz,Cuts,N/A,Basket,N/A,N/A,N/A,N/A
Elm,RIT,Rochester Institute of Technology Tigers,3pmi,No Dribble Jumper,Brock Bowen,PNR,High,Away,Jackson Otis,Spot Ups,N/A,Shot
Elm,RIT,Elmira,Foul,Drop Step,Dylan Jacob,Post,Right,Dribble,N/A,N/A,N/A,N/A
Elm,RIT,Rochester Institute of Technology Tigers,And1,To Basket,Kenny Wilburn,Spot Ups,Right,Drive,N/A,N/A,N/A,N/A
Elm,RIT,Elmira,3pmi,No Dribble Jumper,Tyler Cardello,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A
Elm,RIT,Rochester Institute of Technology Tigers,2pMa,To Basket,Brody Brown,Cuts,N/A,Screen,N/A,N/A,N/A,N/A
Elm,RIT,Elmira,Turnover,N/A,Marc Anthony Artuz,Hand Offs,Left,Stationary,N/A,N/A,N/A,N/A
Elm,RIT,Rochester Institute of Technology Tigers,2pmi,To Basket,Matt Caggiano,Transition,N/A,Ball Handler,N/A,N/A,N/A,N/A
Elm,RIT,Elmira,2pMa,To Basket,Riley Spencer,Transition,N/A,Left Wing,N/A,N/A,N/A,N/A
Elm,RIT,Rochester Institute of Technology Tigers,2pmi,Dribble Jumper,Matt Caggiano,Transition,N/A,Left Wing,N/A,N/A,N/A,N/A
Elm,RIT,Elmira,2pMa,N/A,Owen Evans,Post,Right,Dribble,N/A,N/A,N/A,N/A
Elm,RIT,Rochester Institute of Technology Tigers,3pmi,No Dribble Jumper,Matt Caggiano,PNR,High,Off,Brock Bowen,Spot Ups,N/A,Shot
Elm,RIT,Elmira,2pMa,To Basket,Marc Anthony Artuz,Transition,N/A,Leak Outs,N/A,N/A,N/A,N/A
Elm,RIT,Rochester Institute of Technology Tigers,2pmi,To Basket,Brock Bowen,Spot Ups,Right,Drive,N/A,N/A,N/A,N/A
Elm,RIT,Elmira,2pmi,Dribble Jumper,Riley Spencer,Hand Offs,Right,Dribble,N/A,N/A,N/A,N/A
Elm,RIT,Rochester Institute of Technology Tigers,2pMa,To Basket,Matt Caggiano,Misc,N/A,N/A,N/A,N/A,N/A,N/A
Elm,RIT,Elmira,3pMa,No Dribble Jumper,Tyler Cardello,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A
Elm,RIT,Rochester Institute of Technology Tigers,Foul,To Basket,Matt Caggiano,Hand Offs,Top,Stationary,N/A,N/A,N/A,N/A
Elm,RIT,Elmira,Turnover,N/A,Owen Evans,Misc,N/A,N/A,N/A,N/A,N/A,N/A
Elm,RIT,Rochester Institute of Technology Tigers,2pMa,To Basket,Jackson Otis,Cuts,N/A,Basket,N/A,N/A,N/A,N/A
Elm,RIT,Elmira,2pMa,To Basket,Tyler Cardello,Spot Ups,Right,Drive,N/A,N/A,N/A,N/A
Elm,RIT,Rochester Institute of Technology Tigers,3pMa,No Dribble Jumper,Jackson Otis,Transition,N/A,Right Wing,N/A,N/A,N/A,N/A
Elm,RIT,Elmira,3pmi,No Dribble Jumper,Tyler Cardello,Hand Offs,Top,Dribble,N/A,N/A,N/A,N/A
Elm,RIT,Elmira,3pmi,No Dribble Jumper,Tyler Cardello,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A
Elm,RIT,Elmira,2pMa,To Basket,Carter Seeberger,Cuts,N/A,Basket,N/A,N/A,N/A,N/A
Elm,RIT,Rochester Institute of Technology Tigers,3pmi,No Dribble Jumper,Matt Caggiano,Hand Offs,Right,Dribble,N/A,N/A,N/A,N/A
Elm,RIT,Elmira,2pmi,To Basket,Tyler Cardello,Transition,N/A,Right Wing,N/A,N/A,N/A,N/A
Elm,RIT,Rochester Institute of Technology Tigers,3pmi,No Dribble Jumper,Brandon Weiss,Off Screens,Left,Straight,N/A,N/A,N/A,N/A
Elm,RIT,Elmira,2pMa,To Basket,Carter Seeberger,Cuts,N/A,Flash,N/A,N/A,N/A,N/A
Elm,RIT,Rochester Institute of Technology Tigers,2pMa,To Basket,Josiah Turner,Transition,N/A,First Middle,N/A,N/A,N/A,N/A
Elm,RIT,Elmira,2pmi,Dribble Jumper,Marc Anthony Artuz,Spot Ups,Right,Drive,N/A,N/A,N/A,N/A
Elm,RIT,Rochester Institute of Technology Tigers,2pmi,To Basket,Zac Ditzel,PNR,High,Away,Brody Brown,P&R Roll Man,Left,Pop
Elm,RIT,Rochester Institute of Technology Tigers,3pmi,No Dribble Jumper,Zac Ditzel,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A
Elm,RIT,Elmira,2pmi,Dribble Jumper,Carter Seeberger,Spot Ups,Right,Drive,N/A,N/A,N/A,N/A
Elm,RIT,Rochester Institute of Technology Tigers,3pMa,Dribble Jumper,Brandon Weiss,Hand Offs,Right,Dribble,N/A,N/A,N/A,N/A
Elm,RIT,Elmira,3pmi,Dribble Jumper,Marc Anthony Artuz,Transition,N/A,Left Wing,N/A,N/A,N/A,N/A
Elm,RIT,Rochester Institute of Technology Tigers,2pmi,To Basket,Brody Brown,Transition,N/A,Right Wing,N/A,N/A,N/A,N/A
Elm,RIT,Elmira,2pMa,To Basket,Marc Anthony Artuz,Spot Ups,Right,Drive,N/A,N/A,N/A,N/A
Elm,RIT,Rochester Institute of Technology Tigers,2pmi,Dribble Jumper,Zac Ditzel,Off Screens,Left,Straight,N/A,N/A,N/A,N/A
Elm,RIT,Elmira,3pMa,No Dribble Jumper,Marc Anthony Artuz,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A
Elm,RIT,Rochester Institute of Technology Tigers,3pmi,Dribble Jumper,Ronnie Toole,PNR,Left,Off,N/A,N/A,N/A,N/A
